abandon	rời bỏ
absorb	thấm hút, tiếp thu
abundant	dồi dào, phong phú
accomplishment	thành tựu
acknowledge	thừa nhận
acquire	đạt được
acupuncture	châm cứu
adequate	đầy đủ
advent	sự xuất hiện (ra đời)
aggressive	hung hăng
alkali	chất kiềm
allergy	dị ứng
amphibian	động vật lưỡng cư
amputation	phẫu thuật cắt bỏ
ancient	cổ xưa
anemia	thiếu máu
anorexic	người kén ăn
anthropologist	nhà nhân loại học
antiquity	cổ vật, di vật
apart	tách rời
apart from	ngoại trừ
apnea	chứng ngưng thở khi ngủ
apparatus	thiết bị
appoint	bổ nhiệm
aptitude	năng khiếu
archaeologist	nhà khảo cổ học
artifact	đồ tạo tác, đồ thủ công
artisan	thợ thủ công
assemble	lắp ráp
assertive	tính quyết đoán
